id,Start_X,Start_Y,End_X,End_Y
,-115.893,51.079,-115.902,51.039
,-115.902,51.039,-115.798,50.970
,-115.798,50.970,-115.782,51.015
,-115.782,51.015,-115.831,51.025
,-115.831,51.025,-115.834,51.066
,-115.834,51.066,-115.865,51.096
,-115.865,51.096,-115.913,51.103
,-116.006,51.167,-115.987,51.166
,-115.987,51.166,-115.994,51.133
,-115.994,51.133,-116.012,51.140
,-116.012,51.140,-116.006,51.167
,-115.333,51.202,-115.299,51.201
,-115.299,51.201,-115.277,51.165
,-115.277,51.165,-115.281,51.125
,-115.281,51.125,-115.317,51.123
,-115.317,51.123,-115.336,51.151
,-115.336,51.151,-115.333,51.202
,-115.194,51.090,-115.193,51.051
,-115.193,51.051,-115.156,50.980
,-115.156,50.980,-115.137,50.861
,-115.137,50.861,-115.049,50.815
,-115.049,50.815,-114.974,50.812
,-114.974,50.812,-114.919,50.832
,-114.919,50.832,-114.922,50.966
,-114.922,50.966,-114.881,50.967
,-114.881,50.967,-114.863,51.030
,-114.863,51.030,-114.922,51.043
,-114.922,51.043,-114.951,51.034
,-114.951,51.034,-114.952,51.158
,-114.952,51.158,-115.007,51.159
,-115.007,51.159,-115.007,51.189
,-115.007,51.189,-115.089,51.188
,-115.089,51.188,-115.143,51.170
,-115.143,51.170,-115.175,51.126
,-115.175,51.126,-115.194,51.090
,-115.065,51.278,-115.048,51.213
,-115.048,51.213,-115.005,51.213
,-115.005,51.213,-114.963,51.231
,-114.963,51.231,-114.977,51.304
,-114.977,51.304,-114.996,51.315
,-114.996,51.315,-115.013,51.316
,-115.013,51.316,-115.056,51.302
,-115.056,51.302,-115.065,51.278
,-115.038,51.420,-115.051,51.404
,-115.051,51.404,-115.049,51.384
,-115.049,51.384,-115.022,51.383
,-115.022,51.383,-115.023,51.420
,-115.023,51.420,-115.038,51.420
,-114.266,53.383,-114.216,53.395
,-114.216,53.395,-114.223,53.366
,-114.223,53.366,-114.266,53.368
,-114.266,53.368,-114.266,53.383
,-114.317,53.047,-114.287,53.035
,-114.287,53.035,-114.280,52.998
,-114.280,52.998,-114.313,52.967
,-114.313,52.967,-114.341,52.965
,-114.341,52.965,-114.363,53.022
,-114.363,53.022,-114.317,53.047
,-114.762,52.693,-114.744,52.660
,-114.744,52.660,-114.760,52.639
,-114.760,52.639,-114.795,52.643
,-114.795,52.643,-114.812,52.672
,-114.812,52.672,-114.762,52.693
,-114.853,52.488,-114.837,52.434
,-114.853,52.488,-114.895,52.447
,-114.895,52.447,-114.837,52.434
,-114.915,52.388,-114.872,52.397
,-114.872,52.397,-114.878,52.350
,-114.878,52.350,-114.913,52.355
,-114.913,52.355,-114.915,52.388
,-114.929,52.321,-114.888,52.323
,-114.888,52.323,-114.852,52.299
,-114.852,52.299,-114.851,52.214
,-114.851,52.214,-114.878,52.197
,-114.878,52.197,-114.909,52.204
,-114.909,52.204,-114.951,52.247
,-114.951,52.247,-114.963,52.302
,-114.963,52.302,-114.929,52.321
,-115.108,52.296,-115.039,52.306
,-115.039,52.306,-115.069,52.260
,-115.069,52.260,-115.105,52.260
,-115.105,52.260,-115.108,52.296
,-114.951,52.130,-114.925,52.138
,-114.925,52.138,-114.923,52.111
,-114.923,52.111,-114.950,52.099
,-114.950,52.099,-114.951,52.130
,-115.006,52.032,-114.956,52.030
,-115.006,52.032,-115.034,52.010
,-115.034,52.010,-115.007,51.976
,-115.007,51.976,-114.956,52.030
,-115.043,51.920,-115.025,51.913
,-115.025,51.913,-115.035,51.896
,-115.035,51.896,-115.050,51.897
,-115.050,51.897,-115.043,51.920
,-115.112,51.785,-115.078,51.784
,-115.078,51.784,-115.079,51.740
,-115.079,51.740,-115.124,51.764
,-115.124,51.764,-115.112,51.785
,-115.119,51.654,-115.088,51.655
,-115.088,51.655,-115.080,51.611
,-115.080,51.611,-115.128,51.615
,-115.128,51.615,-115.119,51.654
,-115.084,51.557,-115.060,51.559
,-115.060,51.559,-115.060,51.515
,-115.060,51.515,-115.088,51.524
,-115.088,51.524,-115.084,51.557
,-114.264,52.327,-114.243,52.340
,-114.243,52.340,-114.214,52.331
,-114.214,52.331,-114.212,52.315
,-114.212,52.315,-114.240,52.299
,-114.240,52.299,-114.263,52.316
